panel,record_type,unit_id,unit_name,parent_code,state,proportion,value,term,adjusted_or,or_lower_95,or_upper_95,p,support_status,exclusion_reasons
four_state_correspondence,acz_four_state,,COASTAL ZONE,CZ,both_zero,0.48334430546412116,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,COASTAL ZONE,CZ,mcd64a1_positive_viirs_zero,0.0018433179723502304,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,COASTAL ZONE,CZ,viirs_positive_mcd64a1_zero,0.46886109282422644,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,COASTAL ZONE,CZ,both_positive,0.045951283739302171,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,FOREST ZONE,FZ,both_zero,0.38966547192353646,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,FOREST ZONE,FZ,mcd64a1_positive_viirs_zero,0.0013142174432497014,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,FOREST ZONE,FZ,viirs_positive_mcd64a1_zero,0.51786140979689366,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,FOREST ZONE,FZ,both_positive,0.091158900836320195,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,GUINEA SAVANNAH,GS,both_zero,0.3800716845878136,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,GUINEA SAVANNAH,GS,mcd64a1_positive_viirs_zero,0.013333333333333334,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,GUINEA SAVANNAH,GS,viirs_positive_mcd64a1_zero,0.23498207885304659,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,GUINEA SAVANNAH,GS,both_positive,0.37161290322580648,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,SUDAN SAVANNAH,SS,both_zero,0.50290322580645164,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,SUDAN SAVANNAH,SS,mcd64a1_positive_viirs_zero,0.024516129032258065,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,SUDAN SAVANNAH,SS,viirs_positive_mcd64a1_zero,0.20903225806451617,,,,,,,valid_nonzero,
four_state_correspondence,acz_four_state,,SUDAN SAVANNAH,SS,both_positive,0.26354838709677419,,,,,,,valid_nonzero,
