record_type,scope,parent_code,parent_name,state,count,denominator_n,proportion,month,y1,y0,term,term_role,beta,corrected_se,z,p,adjusted_or,or_lower_95,or_upper_95,diagnostic_name,diagnostic_value,comparison_variable,correlation,vif,predictor_id,quantile,raw_quantile_value,transformed_quantile_value,standardised_probability,n,districts,estimator,working_structure,covariance_method,reference_distribution
four_state,acz,CZ,COASTAL ZONE,both_zero,3671,7595,0.48334430546412116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,CZ,COASTAL ZONE,mcd64a1_positive_viirs_zero,14,7595,0.0018433179723502304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,CZ,COASTAL ZONE,viirs_positive_mcd64a1_zero,3561,7595,0.46886109282422644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,CZ,COASTAL ZONE,both_positive,349,7595,0.045951283739302171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,FZ,FOREST ZONE,both_zero,6523,16740,0.38966547192353646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,FZ,FOREST ZONE,mcd64a1_positive_viirs_zero,22,16740,0.0013142174432497014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,FZ,FOREST ZONE,viirs_positive_mcd64a1_zero,8669,16740,0.51786140979689366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,FZ,FOREST ZONE,both_positive,1526,16740,0.091158900836320195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,GS,GUINEA SAVANNAH,both_zero,2651,6975,0.3800716845878136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,GS,GUINEA SAVANNAH,mcd64a1_positive_viirs_zero,93,6975,0.013333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,GS,GUINEA SAVANNAH,viirs_positive_mcd64a1_zero,1639,6975,0.23498207885304659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,GS,GUINEA SAVANNAH,both_positive,2592,6975,0.37161290322580648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,SS,SUDAN SAVANNAH,both_zero,1559,3100,0.50290322580645164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,SS,SUDAN SAVANNAH,mcd64a1_positive_viirs_zero,76,3100,0.024516129032258065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four_state,acz,SS,SUDAN SAVANNAH,viirs_positive_mcd64a1_zero,648,3100,0.20903225806451617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
