panel,unit_id,unit_name,parent_code,support_status,value,exclusion_reasons
spatial_supports,Ablekuma_Central_Municipal,Ablekuma Central Municipal,CZ,excluded,,primary_denominator_zero_or_nonpositive
spatial_supports,Ablekuma_North_Municipal,Ablekuma North Municipal,CZ,excluded,,primary_denominator_zero_or_nonpositive
spatial_supports,Ablekuma_West_Municipal,Ablekuma West Municipal,CZ,excluded,,primary_denominator_zero_or_nonpositive
spatial_supports,Abuakwa_North,Abuakwa North,FZ,eligible,,
spatial_supports,Abuakwa_South,Abuakwa South,FZ,eligible,,
spatial_supports,Abura_Asebu_Kwamankese,Abura Asebu Kwamankese,CZ,eligible,,
spatial_supports,Accra_Metropolis,Accra Metropolis,CZ,eligible,,
spatial_supports,Achiase,Achiase,FZ,eligible,,
spatial_supports,Ada_East,Ada East,CZ,eligible,,
spatial_supports,Ada_West,Ada West,CZ,eligible,,
spatial_supports,Adaklu,Adaklu,FZ,eligible,,
spatial_supports,Adansi_Akrofuom,Adansi Akrofuom,FZ,eligible,,
spatial_supports,Adansi_Asokwa,Adansi Asokwa,FZ,eligible,,
spatial_supports,Adansi_North,Adansi North,FZ,eligible,,
spatial_supports,Adansi_South,Adansi South,FZ,eligible,,
spatial_supports,Adenta_Municipal,Adenta Municipal,CZ,eligible,,
spatial_supports,Afadzato_South,Afadzato South,FZ,eligible,,
spatial_supports,Afigya_Kwabre_North,Afigya Kwabre North,FZ,eligible,,
spatial_supports,Afigya_Kwabre_South,Afigya Kwabre South,FZ,eligible,,
spatial_supports,Agona_East,Agona East,FZ,eligible,,
spatial_supports,Agona_West_Municipal,Agona West Municipal,FZ,eligible,,
spatial_supports,Agotime_Ziope,Agotime Ziope,FZ,eligible,,
spatial_supports,Ahafo_Ano_North,Ahafo Ano North,FZ,eligible,,
spatial_supports,Ahafo_Ano_South_East,Ahafo Ano South East,FZ,eligible,,
spatial_supports,Ahafo_Ano_South_West,Ahafo Ano South West,FZ,eligible,,
spatial_supports,Ahanta_West_Municipal,Ahanta West Municipal,CZ,eligible,,
spatial_supports,Ajumako_Enyan_Essiam,Ajumako Enyan Essiam,CZ,eligible,,
spatial_supports,Akatsi_North,Akatsi North,CZ,eligible,,
spatial_supports,Akatsi_South,Akatsi South,CZ,eligible,,
spatial_supports,Akwapem_North,Akwapem North,FZ,eligible,,
spatial_supports,Akwapem_South,Akwapem South,FZ,eligible,,
spatial_supports,Akyem_Mansa,Akyem Mansa,FZ,eligible,,
spatial_supports,Amansie_Central,Amansie Central,FZ,eligible,,
spatial_supports,Amansie_South,Amansie South,FZ,eligible,,
spatial_supports,Amansie_West,Amansie West,FZ,eligible,,
spatial_supports,Anloga,Anloga,CZ,eligible,,
spatial_supports,Aowin,Aowin,FZ,eligible,,
spatial_supports,Asante_Akim_Central_Municipal,Asante Akim Central Municipal,FZ,eligible,,
spatial_supports,Asante_Akim_North,Asante Akim North,FZ,eligible,,
spatial_supports,Asante_Akim_South,Asante Akim South,FZ,eligible,,
spatial_supports,Asene_Akroso_Manso,Asene Akroso Manso,FZ,eligible,,
