cluster,n,y1,y0,all_y1,all_y0
Abuakwa_North,61,56,5,False,False
Abuakwa_South,88,83,5,False,False
Abura_Asebu_Kwamankese,85,85,0,True,False
Achiase,96,95,1,False,False
Ada_East,87,85,2,False,False
Ada_West,61,58,3,False,False
Adaklu,111,62,49,False,False
Adansi_Akrofuom,74,73,1,False,False
Adansi_Asokwa,87,85,2,False,False
Adansi_North,92,90,2,False,False
Adansi_South,84,81,3,False,False
Adenta_Municipal,35,35,0,True,False
Afadzato_South,112,76,36,False,False
Afigya_Kwabre_North,71,67,4,False,False
Afigya_Kwabre_South,96,95,1,False,False
Agona_East,88,88,0,True,False
Agona_West_Municipal,81,80,1,False,False
Agotime_Ziope,111,69,42,False,False
Ahafo_Ano_North,97,83,14,False,False
Ahafo_Ano_South_East,112,101,11,False,False
Ahafo_Ano_South_West,83,70,13,False,False
Ahanta_West_Municipal,121,118,3,False,False
Ajumako_Enyan_Essiam,95,87,8,False,False
Akatsi_North,90,56,34,False,False
Akatsi_South,109,77,32,False,False
Akwapem_North,120,108,12,False,False
Akwapem_South,120,115,5,False,False
Akyem_Mansa,77,75,2,False,False
Amansie_Central,106,105,1,False,False
Amansie_South,105,98,7,False,False
Amansie_West,108,105,3,False,False
Anloga,100,97,3,False,False
Aowin,84,83,1,False,False
Asante_Akim_Central_Municipal,81,73,8,False,False
Asante_Akim_North,141,87,54,False,False
Asante_Akim_South,105,90,15,False,False
Asene_Akroso_Manso,99,98,1,False,False
Ashaiman_Municipal,36,36,0,True,False
Asikuma_Odoben_Brakwa,111,109,2,False,False
Asokore_Mampong_Municipal,60,60,0,True,False
Asokwa_Municipal,38,38,0,True,False
Assin_Fosu,74,73,1,False,False
Assin_North,84,79,5,False,False
Assin_South,96,95,1,False,False
Asunafo_North_Municipal,102,94,8,False,False
Asunafo_South,93,87,6,False,False
Asuogyaman,124,87,37,False,False
Asutifi_North,95,59,36,False,False
Asutifi_South,109,85,24,False,False
Atebubu_Amantin,129,73,56,False,False
Atiwa_East,76,70,6,False,False
Atiwa_West,86,84,2,False,False
Atwima_Kwanwoma,101,101,0,True,False
Atwima_Mponua,131,119,12,False,False
Atwima_Nwabiagya_North,87,87,0,True,False
Atwima_Nwabiagya_South,88,85,3,False,False
Awutu_Senya,103,100,3,False,False
Awutu_Senya_East,69,66,3,False,False
Ayawaso_West,10,10,0,True,False
Ayensuano,120,117,3,False,False
Banda,105,53,52,False,False
Bawku_Municipal,36,17,19,False,False
Bawku_West,94,36,58,False,False
Bekwai_Municipal,112,110,2,False,False
Berekum_East_Municipal,116,82,34,False,False
Berekum_West,104,83,21,False,False
Bia_East,74,71,3,False,False
Bia_West,66,65,1,False,False
Biakoye,137,91,46,False,False
Bibiani_Anhwiaso_Bekwai_Municipal,114,107,7,False,False
Binduri,78,35,43,False,False
Birim_Central_Municipal,57,57,0,True,False
Birim_North,82,81,1,False,False
Birim_South,85,84,1,False,False
Bodi,69,68,1,False,False
Bole,104,48,56,False,False
Bolga_East,9,9,0,True,False
Bolgatanga_Municipal,73,37,36,False,False
Bongo,68,36,32,False,False
Bosome_Freho,91,77,14,False,False
Bosomtwe,110,104,6,False,False
Builsa_North,100,48,52,False,False
Builsa_South,98,39,59,False,False
Bunkpurugu_Nakpanduri,81,23,58,False,False
Cape_Coast_Metropolitan,68,67,1,False,False
Central_Gonja,107,37,70,False,False
Central_Tongu,108,73,35,False,False
Chereponi,91,13,78,False,False
Daffiama_Bussie_Issa,84,33,51,False,False
Denkyembour,85,84,1,False,False
Dormaa_East,96,90,6,False,False
Dormaa_Municipal,123,98,25,False,False
Dormaa_West,74,72,2,False,False
East_Gonja_Municipal,98,43,55,False,False
East_Mamprusi,95,29,66,False,False
Effia_Kwesimintsim_Municipal,62,61,1,False,False
Effutu_Municipal,76,70,6,False,False
Ejisu_Municipal,109,102,7,False,False
Ejura_Sekyedumase,113,58,55,False,False
Ekumfi,127,120,7,False,False
Ellembelle,113,109,4,False,False
Fanteakwa_North,119,68,51,False,False
Fanteakwa_South,76,45,31,False,False
Ga_Central_Municipal,45,45,0,True,False
Ga_East,45,44,1,False,False
Ga_North_Municipal,84,79,5,False,False
Ga_South_Municipal,78,76,2,False,False
Ga_West_Municipal,63,63,0,True,False
Garu,87,32,55,False,False
Gomoa_Central,106,84,22,False,False
Gomoa_East,125,110,15,False,False
Gomoa_West,107,96,11,False,False
Gushegu,97,23,74,False,False
Ho_Municipal,124,85,39,False,False
Ho_West,137,91,46,False,False
Hohoe_Municipal,98,57,41,False,False
Jaman_North,112,91,21,False,False
Jaman_South_Municipal,106,99,7,False,False
Jasikan,95,59,36,False,False
Jirapa,85,38,47,False,False
Jomoro,93,90,3,False,False
Juaben_Municipal,78,76,2,False,False
Juaboso,76,71,5,False,False
Kadjebi,91,63,28,False,False
Karaga,90,22,68,False,False
Kasena_Nankana_East,88,33,55,False,False
Kasena_Nankana_West,91,31,60,False,False
Keta_Municipal,112,94,18,False,False
Ketu_North,95,66,29,False,False
Ketu_South,73,66,7,False,False
Kintampo_North_Municipal,128,65,63,False,False
Kintampo_South,146,93,53,False,False
Komenda_Edina_Eguafo_Abirem_Municipal,116,110,6,False,False
Kpandai,101,44,57,False,False
Kpando_Municipal,101,65,36,False,False
Kpone_Katamanso,121,121,0,True,False
Krachi_East_Municipal,117,58,59,False,False
Krachi_Nchumuru,105,54,51,False,False
Krachi_West,93,52,41,False,False
Kumbungu,94,32,62,False,False
Kwabre_East,58,57,1,False,False
Kwadaso_Municipal,67,67,0,True,False
Kwaebibirem,90,85,5,False,False
Kwahu_Afram_Plains_North,123,61,62,False,False
Kwahu_Afram_Plains_South,128,68,60,False,False
Kwahu_East,113,63,50,False,False
Kwahu_South,105,59,46,False,False
Kwahu_West,75,70,5,False,False
La_Dade_Kotopon,12,12,0,True,False
La_Nkwantanang_Madina,30,30,0,True,False
Lambussie_Karni,80,40,40,False,False
Lawra,84,35,49,False,False
Ledzokuku_Municipal,11,11,0,True,False
Lower_Manya,113,81,32,False,False
Mampong_Municipal,124,79,45,False,False
Mamprugu_Moagduri,99,32,67,False,False
Mfantseman_Municipal,119,116,3,False,False
Mion,98,25,73,False,False
Mpohor,91,85,6,False,False
Nabdam,67,23,44,False,False
Nadowli_Kaleo,74,42,32,False,False
Nandom,76,38,38,False,False
Nanton,55,14,41,False,False
Nanumba_North,100,29,71,False,False
Nanumba_South,105,40,65,False,False
New_Juaben_North_Municipal,64,57,7,False,False
New_Juaben_South_Municipal,49,46,3,False,False
Ningo_Prampram,99,85,14,False,False
Nkoranza_North,136,83,53,False,False
Nkoranza_South,136,88,48,False,False
Nkwanta_North,107,47,60,False,False
