column_order,term,component,source_field,field_role,transform_or_coding,reporting_role,factor_id,factor_level,reference_level,design_dimension
0,Intercept,intercept,,,intercept,intercept,,,,31
1,log2_viirs_det_primary,continuous_predictor,viirs_det_primary,rq3.viirs_count,log2_positive,focal,,,,31
2,log2_viirs_frp_mean_mw,continuous_predictor,viirs_frp_mean_mw,rq3.mean_frp,log2_positive,focal,,,,31
3,log2_modis_burnable_km2_union_ba2012,continuous_predictor,modis_burnable_km2_union_ba2012,rq3.burnable_area,log2_positive,adjustment,,,,31
4,month_2,categorical_indicator,month,keys.month,categorical,adjustment,month,2,1,31
5,month_3,categorical_indicator,month,keys.month,categorical,adjustment,month,3,1,31
6,month_4,categorical_indicator,month,keys.month,categorical,adjustment,month,4,1,31
7,month_5,categorical_indicator,month,keys.month,categorical,adjustment,month,5,1,31
8,month_6,categorical_indicator,month,keys.month,categorical,adjustment,month,6,1,31
9,month_7,categorical_indicator,month,keys.month,categorical,adjustment,month,7,1,31
10,month_8,categorical_indicator,month,keys.month,categorical,adjustment,month,8,1,31
11,month_9,categorical_indicator,month,keys.month,categorical,adjustment,month,9,1,31
12,month_10,categorical_indicator,month,keys.month,categorical,adjustment,month,10,1,31
13,month_11,categorical_indicator,month,keys.month,categorical,adjustment,month,11,1,31
14,month_12,categorical_indicator,month,keys.month,categorical,adjustment,month,12,1,31
15,year_2012,categorical_indicator,year,keys.year,categorical,adjustment,year,2012,2013,31
16,year_2014,categorical_indicator,year,keys.year,categorical,adjustment,year,2014,2013,31
17,year_2015,categorical_indicator,year,keys.year,categorical,adjustment,year,2015,2013,31
18,year_2016,categorical_indicator,year,keys.year,categorical,adjustment,year,2016,2013,31
19,year_2017,categorical_indicator,year,keys.year,categorical,adjustment,year,2017,2013,31
20,year_2018,categorical_indicator,year,keys.year,categorical,adjustment,year,2018,2013,31
21,year_2019,categorical_indicator,year,keys.year,categorical,adjustment,year,2019,2013,31
22,year_2020,categorical_indicator,year,keys.year,categorical,adjustment,year,2020,2013,31
23,year_2021,categorical_indicator,year,keys.year,categorical,adjustment,year,2021,2013,31
24,year_2022,categorical_indicator,year,keys.year,categorical,adjustment,year,2022,2013,31
25,year_2023,categorical_indicator,year,keys.year,categorical,adjustment,year,2023,2013,31
26,year_2024,categorical_indicator,year,keys.year,categorical,adjustment,year,2024,2013,31
27,acz_FZ,categorical_indicator,parent_code,keys.parent_code,categorical,adjustment,acz,FZ,CZ,31
28,acz_GS,categorical_indicator,parent_code,keys.parent_code,categorical,adjustment,acz,GS,CZ,31
29,acz_SS,categorical_indicator,parent_code,keys.parent_code,categorical,adjustment,acz,SS,CZ,31
30,acz_TZ,categorical_indicator,parent_code,keys.parent_code,categorical,adjustment,acz,TZ,CZ,31
