factor,level,n,y1,y0,prevalence_y1,complete_separation
month,1,2743,1353,1390,0.4932555596062705,False
month,2,3008,1596,1412,0.5305851063829787,False
month,3,2965,2381,584,0.803035413153457,False
month,4,2743,2649,94,0.9657309515129421,False
month,5,2140,2135,5,0.9976635514018691,False
month,6,757,755,2,0.9973579920739762,False
month,7,644,644,0,1.0,True
month,8,1217,1216,1,0.9991783073130649,False
month,9,1109,1109,0,1.0,True
month,10,1280,911,369,0.71171875,False
month,11,1850,922,928,0.4983783783783784,False
month,12,2483,1140,1343,0.4591220298026581,False
year,2012,1506,1179,327,0.7828685258964143,False
year,2013,1852,1353,499,0.730561555075594,False
year,2014,1722,1229,493,0.7137049941927991,False
year,2015,1857,1360,497,0.732364028002154,False
year,2016,1784,1281,503,0.7180493273542601,False
year,2017,1746,1249,497,0.7153493699885453,False
year,2018,1752,1276,476,0.728310502283105,False
year,2019,1702,1247,455,0.7326674500587544,False
year,2020,1879,1335,544,0.7104843001596594,False
year,2021,1801,1385,416,0.7690172126596335,False
year,2022,1802,1295,507,0.718645948945616,False
year,2023,1696,1243,453,0.7329009433962265,False
year,2024,1840,1379,461,0.7494565217391305,False
parent_code,CZ,3910,3561,349,0.9107416879795397,False
parent_code,FZ,10195,8669,1526,0.8503187837175086,False
parent_code,GS,4231,1639,2592,0.38737887024344125,False
parent_code,SS,1465,648,817,0.442320819112628,False
parent_code,TZ,3138,2294,844,0.7310388782664117,False
