summary_scope,parent_code,parent_name,state,count,denominator_n,proportion
acz,CZ,COASTAL ZONE,both_zero,3671,7595,0.48334430546412116
acz,CZ,COASTAL ZONE,mcd64a1_positive_viirs_zero,14,7595,0.0018433179723502304
acz,CZ,COASTAL ZONE,viirs_positive_mcd64a1_zero,3561,7595,0.46886109282422644
acz,CZ,COASTAL ZONE,both_positive,349,7595,0.04595128373930217
acz,FZ,FOREST ZONE,both_zero,6523,16740,0.38966547192353646
acz,FZ,FOREST ZONE,mcd64a1_positive_viirs_zero,22,16740,0.0013142174432497014
acz,FZ,FOREST ZONE,viirs_positive_mcd64a1_zero,8669,16740,0.5178614097968937
acz,FZ,FOREST ZONE,both_positive,1526,16740,0.0911589008363202
acz,GS,GUINEA SAVANNAH,both_zero,2651,6975,0.3800716845878136
acz,GS,GUINEA SAVANNAH,mcd64a1_positive_viirs_zero,93,6975,0.013333333333333334
acz,GS,GUINEA SAVANNAH,viirs_positive_mcd64a1_zero,1639,6975,0.2349820788530466
acz,GS,GUINEA SAVANNAH,both_positive,2592,6975,0.3716129032258065
acz,SS,SUDAN SAVANNAH,both_zero,1559,3100,0.5029032258064516
acz,SS,SUDAN SAVANNAH,mcd64a1_positive_viirs_zero,76,3100,0.024516129032258065
acz,SS,SUDAN SAVANNAH,viirs_positive_mcd64a1_zero,648,3100,0.20903225806451614
acz,SS,SUDAN SAVANNAH,both_positive,817,3100,0.2635483870967742
acz,TZ,TRANSITION ZONE,both_zero,1043,4185,0.24922341696535244
acz,TZ,TRANSITION ZONE,mcd64a1_positive_viirs_zero,4,4185,0.0009557945041816009
acz,TZ,TRANSITION ZONE,viirs_positive_mcd64a1_zero,2294,4185,0.5481481481481482
acz,TZ,TRANSITION ZONE,both_positive,844,4185,0.2016726403823178
overall,,Overall,both_zero,15447,38595,0.40023319082782743
overall,,Overall,mcd64a1_positive_viirs_zero,209,38595,0.005415209223992745
overall,,Overall,viirs_positive_mcd64a1_zero,16811,38595,0.43557455628967484
overall,,Overall,both_positive,6128,38595,0.15877704365850498
